,id,x,y,endX,endY,teamId,playerId,eventType,outcomeType,minute
2,2610509487.0,50.2,49.9,35.5,46.3,32,336915.0,Pass,Successful,0
3,2610509531.0,34.8,47.9,32.5,76.1,32,69344.0,Pass,Successful,0
4,2610509585.0,32.5,76.1,34.0,94.4,32,22079.0,Pass,Successful,0
5,2610509715.0,27.5,92.6,13.6,69.0,32,100008.0,Pass,Successful,0
6,2610509747.0,22.9,50.7,22.5,29.4,32,260843.0,Pass,Successful,0
7,2610509917.0,25.0,30.3,17.5,49.6,32,99487.0,Pass,Successful,0
8,2610509943.0,19.6,54.2,46.1,42.9,32,260843.0,Pass,Unsuccessful,0
10,2610510005.0,33.3,42.1,39.5,41.0,32,69344.0,Pass,Unsuccessful,0
12,2610510043.0,35.8,40.5,31.9,30.6,32,69344.0,Pass,Successful,0
13,2610510099.0,32.8,25.4,37.4,7.3,32,123761.0,Pass,Successful,0
14,2610510147.0,32.4,6.5,24.6,24.5,32,353418.0,Pass,Successful,0
15,2610510215.0,21.7,26.9,15.8,51.9,32,99487.0,Pass,Successful,0
16,2610510315.0,15.8,52.8,29.0,96.4,32,260843.0,Pass,Successful,0
17,2610510343.0,30.5,91.3,37.2,72.2,32,100008.0,Pass,Successful,0
18,2610510379.0,40.0,68.8,58.6,65.5,32,336915.0,Pass,Successful,0
19,2610510429.0,59.7,68.8,61.8,81.4,32,439584.0,Pass,Successful,0
20,2610510515.0,63.2,81.9,77.7,91.8,32,336915.0,Pass,Successful,0
21,2610510579.0,78.8,71.2,72.7,60.7,32,300299.0,Pass,Successful,0
22,2610510627.0,72.1,51.3,73.1,30.9,32,69344.0,Pass,Successful,0
23,2610510681.0,73.7,28.9,99.5,74.9,32,353418.0,Pass,Successful,1
24,2610510707.0,99.5,74.9,100.0,51.1,32,100008.0,Pass,Unsuccessful,1
25,2610510983.0,5.4,42.4,4.4,53.2,167,313171.0,Pass,Successful,1
26,2610511077.0,9.5,55.6,14.4,29.7,167,121774.0,Pass,Successful,1
27,2610511197.0,15.8,31.9,31.8,94.1,167,313171.0,Pass,Successful,1
31,2610511285.0,68.8,26.2,60.0,31.4,32,439584.0,Pass,Successful,1
